 rho,npv_bundle, npv_no_bundle,percent_gain
0,18861.3,15406.2,0.224265
0.05,18975.5,15406,0.231699
0.1,19089.8,15405.8,0.239134
0.15,19204.1,15405.6,0.246569
0.2,19318.4,15405.4,0.254004
0.25,19432.6,15405.1,0.261439
0.3,19546.9,15404.9,0.268874
0.35,19661.2,15404.7,0.27631
0.4,19775.5,15404.5,0.283746
0.45,19889.8,15404.3,0.291182
0.5,20004,15404.1,0.298618
0.55,20118.3,15403.9,0.306055
0.6,20232.6,15403.7,0.313491
0.65,20346.9,15403.5,0.320928
0.7,20461.1,15403.3,0.328365
0.75,20575.4,15403,0.335802
0.8,20689.7,15402.8,0.34324
0.85,20804,15402.6,0.350677
0.9,20918.3,15402.4,0.358115
0.95,21032.5,15402.2,0.365553
1,21146.8,15402,0.372991
