 rho,npv_bundle, npv_no_bundle,percent_gain
0,18930.1,15468.8,0.22376
0.05,19043.3,15468.1,0.231133
0.1,19156.6,15467.5,0.238506
0.15,19269.9,15466.9,0.245879
0.2,19383.1,15466.2,0.253253
0.25,19496.4,15465.6,0.260628
0.3,19609.6,15465,0.268003
0.35,19722.9,15464.3,0.275379
0.4,19836.2,15463.7,0.282756
0.45,19949.4,15463.1,0.290133
0.5,20062.7,15462.4,0.297511
0.55,20175.9,15461.8,0.304889
0.6,20289.2,15461.2,0.312268
0.65,20402.5,15460.5,0.319647
0.7,20515.7,15459.9,0.327028
0.75,20629,15459.3,0.334408
0.8,20742.2,15458.6,0.34179
0.85,20855.5,15458,0.349172
0.9,20968.8,15457.4,0.356554
0.95,21082,15456.7,0.363937
1,21195.3,15456.1,0.371321
